,Domain,Having_@_symbol,Having_IP,Path,Prefix_suffix_separation,Protocol,Redirection_//_symbol,Sub_domains,URL_Length,age_domain,dns_record,domain_registration_length,http_tokens,label,statistical_report,tiny_url,web_traffic
99,adultcompass.com,0,0,/avs/0/1/acw/index.html,0,http,0,0,0,0,0,1,0,0,0,0,2
100,www.adult-anime-hentai.com,0,0,/,1,http,0,0,0,1,1,1,0,0,1,0,1
101,www.emuck.com:3000,0,0,/archive/egan.html,0,http,0,2,0,1,0,1,0,0,1,0,1
102,danoday.com,0,0,/summit.shtml,0,http,0,0,0,2,0,1,0,0,0,0,2
103,groups.yahoo.com,0,0,/group/voice_actor_appreciation/links/events_and_appearanc_000985383761/,0,http,0,0,1,2,0,2,0,0,0,0,0
104,voice-international.com,0,0,/,1,http,0,0,0,0,0,1,0,0,0,0,1
105,www.livinglegendsltd.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
106,voicechasers.com,0,0,/forum/viewforum.php,0,http,0,0,0,0,0,0,0,0,0,0,2
107,hollywoodcollectorshow.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
108,www.geocities.com,0,0,/hollywood/hills/8944/,0,http,0,0,0,2,0,2,0,0,0,0,2
109,asifa.proboards61.com,0,0,/index.cgi,0,http,0,2,2,0,0,1,0,0,0,0,2
110,groups.yahoo.com,0,0,/group/voice_actor_appreciation/cal///group/voice_actor_appreciation/,0,http,1,0,1,2,0,2,0,0,0,0,0
111,us.imdb.com,0,0,/name/nm0267724/,0,http,0,0,0,2,0,2,0,0,0,0,0
112,www.pamelynferdin.com,0,0,/,0,http,0,0,0,2,0,2,0,0,0,0,2
113,www.pamferdin.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
114,www.monkeydog.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
115,teamknightrider.com,0,0,/cast/plato/plato.html,0,http,0,0,0,0,0,1,0,0,1,0,1
116,us.imdb.com,0,0,/name/nm0281486/,0,http,0,0,0,2,0,2,0,0,0,0,0
117,anp.awn.com,0,0,/anifest-3.html,0,http,0,2,0,0,0,1,0,0,1,0,0
118,www.awn.com,0,0,/mag/issue1.7/articles/kowlaskidi1.7.html,0,http,0,1,2,0,0,1,0,0,0,0,0
119,www.awn.com,0,0,/mag/issue2.7/2.7pages/2.7jacksonjones.html,0,http,0,1,2,0,0,1,0,0,0,0,0
120,www.awn.com,0,0,/mag/issue1.9/articles/kowlagrinch1.9.html,0,http,0,1,2,0,0,1,0,0,0,0,0
121,us.imdb.com,0,0,/name/nm0004931/,0,http,0,0,0,2,0,2,0,0,0,0,0
122,www.voicechasers.com,0,0,/database/showactor.php,0,http,0,2,2,0,0,0,0,0,0,0,2
123,www.vortex.com,0,0,/av.html,0,http,0,2,0,0,0,0,0,0,0,1,2
124,starbulletin.com,0,0,/96/07/11/features/story3.html,0,http,0,0,0,0,0,0,0,0,0,0,2
125,anp.awn.com,0,0,/juneforay.html,0,http,0,2,0,0,0,1,0,0,1,0,0
126,www.cerias.purdue.edu,0,0,/homes/spaf/yucks/v2/msg00061.html,0,http,0,1,2,1,0,1,0,0,0,0,0
127,www.awn.com,0,0,/mag/issue5.03/5.03pages/evanierforay.php3,0,http,0,1,2,0,0,1,0,0,0,0,0
128,www.awn.com,0,0,/mag/issue4.02/4.02pages/foraylittlejohn.php3,0,http,0,1,2,0,0,1,0,0,0,0,0
129,archives.seattletimes.nwsource.com,0,0,/cgi-bin/texis.cgi/web/vortex/display,0,http,0,1,1,0,0,1,0,0,0,0,2
130,www.geocities.com,0,0,/enchantedforest/dell/8545/fraley.html,0,http,0,2,2,2,0,2,0,0,0,0,2
131,us.imdb.com,0,0,/name/nm0289710/,0,http,0,0,0,2,0,2,0,0,0,0,0
132,www.voicechasers.com,0,0,/database/showactor.php,0,http,0,2,2,0,0,0,0,0,0,0,2
133,patfraley.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
134,nerf-herders-anonymous.net,0,0,/patfraley.html,1,http,0,0,0,0,0,1,0,0,0,0,1
135,www.vasta.org,0,0,/professional_index/fraleyp.html,0,http,0,2,0,0,0,1,0,0,0,0,2
136,news.toonzone.net,0,0,/2000/oct/27/hearing_voices.php,0,http,0,2,2,0,0,0,0,0,0,0,0
137,members.tripod.com,0,0,/~leemichaelwithers/sfh.htm,0,http,0,2,0,0,0,0,0,0,0,0,0
138,www.radiospirits.com,0,0,/onradio/meethost_sf.asp,0,http,0,2,0,0,0,1,0,0,0,0,2
139,us.imdb.com,0,0,/name/nm0292677/,0,http,0,0,0,2,0,2,0,0,0,0,0
140,freberg.westnet.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,1,2
141,www.aarp.org,0,0,/mmaturity/mar_apr00_preview/creators.html,0,http,0,2,2,0,0,0,0,0,0,0,0
142,www.cosmik.com,0,0,/aa-october99/stan_freberg.html,0,http,0,2,0,0,0,1,0,0,0,0,2
143,www.tsimon.com,0,0,/freberg.htm,0,http,0,2,0,2,0,2,0,0,0,0,2
144,www.firezine.net,0,0,/issue6/fz6_07.htm,0,http,0,2,0,0,0,1,0,0,0,0,2
145,www.thehutch.com,0,0,/rabhutch/freberg.htm,0,http,0,2,0,0,0,0,0,0,0,0,1
146,www.povonline.com,0,0,/cols/col051.htm,0,http,0,2,0,2,0,1,0,0,0,0,1
147,www.povonline.com,0,0,/2001/news060901.htm,0,http,0,2,0,2,0,1,0,0,0,0,1
148,www.austinchronicle.com,0,0,/issues/dispatch/1999-12-10/music_feature3.html,0,http,0,2,1,0,0,1,0,0,0,0,0
149,www.dawsbutler.com,0,0,/freberg.htm,0,http,0,2,0,0,0,0,0,0,0,0,2
150,freberg.westnet.com,0,0,/list.html,0,http,0,2,0,0,0,1,0,0,0,1,2
151,www.rhino.com,0,0,/features/75645p.html,0,http,0,2,0,0,0,0,0,0,0,0,2
152,hitcomedy.com,0,0,/index.html,0,http,0,0,0,0,0,1,0,0,1,0,1
153,www.cyberonic.net,0,0,/~atrain/comedy/freberg.htm,0,http,0,2,0,0,0,0,0,0,0,0,1
154,www.povonline.com,0,0,/cols/col102.htm,0,http,0,2,0,2,0,1,0,0,0,0,1
155,freberg.westnet.com,0,0,/hear_it.html,0,http,0,2,0,0,0,1,0,0,0,1,2
156,www.epinions.com,0,0,/musc-album-musc-freberg__stan/tk_~mm032.1.2,0,http,0,1,2,2,0,2,0,0,0,0,2
157,citypaper.net,0,0,/articles/091699/mus.stan.shtml,0,http,0,2,0,0,0,1,0,0,0,0,1
158,www.crispinfreeman.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
159,www.reelradio.com,0,0,/gifts/frees.html,0,http,0,2,0,0,0,1,0,0,0,0,2
160,www.spookytoms.com,0,0,/paul_frees_tribute.html,0,http,0,2,0,0,0,1,0,0,0,0,1
161,www.hollowhill.com,0,0,/gm/library/frees.htm,0,http,0,2,0,0,0,1,0,0,0,0,2
162,www.dvdtalk.com,0,0,/dvdsavant/s74frees.html,0,http,0,2,0,0,0,1,0,0,0,0,0
163,us.imdb.com,0,0,/name/nm0293659/,0,http,0,0,0,2,0,2,0,0,0,0,0
164,www.voicechasers.com,0,0,/database/showactor.php,0,http,0,2,2,0,0,0,0,0,0,0,2
165,bakerstreetdozen.com,0,0,/frewernews.html,0,http,0,0,0,0,0,0,0,0,0,0,2
166,us.imdb.com,0,0,/name/nm0001242/,0,http,0,0,0,2,0,2,0,0,0,0,0
167,www.geocities.com,0,0,/enchantedforest/dell/8545/va.html,0,http,0,2,2,2,0,2,0,0,0,0,2
168,www.angelfire.com,0,0,/ut/rtoons/actors.html,0,http,0,2,0,0,0,0,0,0,0,0,0
169,www.geocities.com,0,0,/hollywood/lot/2636/voiceacting/,0,http,0,0,2,2,0,2,0,0,0,0,2
170,www.geocities.com,0,0,/philbass_2000/narrators.html,0,http,0,2,0,2,0,2,0,0,0,0,2
171,doreen.mkbmemorial.com,0,0,/,0,http,0,0,0,1,0,1,0,0,0,0,2
172,www.geocities.com,0,0,/televisioncity/taping/6785/index.html,0,http,0,2,2,2,0,2,0,0,0,0,2
173,www.behindthevoiceactors.com,0,0,NA,0,http,0,0,0,0,0,1,0,0,0,0,0
