Protocol,Domain,Path,Having_IP,URL_Length,Having_@_symbol,Redirection_//_symbol,Prefix_suffix_separation,Sub_domains,tiny_url,web_traffic,domain_registration_length,dns_record,statistical_report,age_domain,http_tokens,label
https,tr.im,/1e0rQ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1
https,www.gommetermiche.it,/administrator/modules/auth.att.secure/login.htm,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,indonesianwonderagate.com,/zee/validate.htm,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,tinyurl.com,/ll59xhm,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
http,consultafgts.esy.es,/home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,www.ultrakoz.com,/uploads/files/reloadedatt.net.html,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1
http,www.blackabba.com,/sign-on/yahoo/Y1.html,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,carretroller.com.br,/sss/image.htm,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
https,www.mamujutengahkab.go.id,/terasconfig/www.att.net/,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1
http,sandralucashyde.org,/login.yahoo/yahoo.com%20[Lastet%20Update]/indexz.html,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,extratoinativos.com,/Inativos/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,consultar-fgts.com,/1index.php,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,portal-consultafgts.com,/caixa.gov.br/pages/inter/index.php,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,ni1232966-3.web20.nitrado.hosting,/finance/fnce/,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1
http,fgtsliberacao.com,/processa.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
https,jokextreme.com,/irs.return/Payment%20Lookup.html,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,fb-safetyhelp.esy.es,/recovery-chekpoint-login.html,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,fb-securitypolicy101inc.esy.es,/recovery-chekpoint-login.html,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,fb-securityaccountlogincheck808.esy.es,/recovery-chekpoint-login.html,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,laghaimrevolution.com,/sign-on/yahoo/Y1.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,settings-acct024631.esy.es,/recovery-chekpoint-login.html,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,horizongarments.com,/Asher/image.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,shittyurl.org,/5u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,ni1232966-4.web16.nitrado.hosting,/ye/cmbr/,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1
http,system-support-il.hol.es,/facebook-security,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,ow.ly,/IIzC30bBG3c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1
http,caixaservicosonline.epizy.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
http,sandralucashyde.org,/login.yahoo/yahoo.com%20%5BLastet%20Update%5D/indexz.html,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,anniey06l5.myjino.ru,/byte/Cookies/Cookies/Pelewura/onlineverifica@tion/Preview.htm,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,www.supportt-team.com,/Confirmed/MyAccount/,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
https,forms.zohopublic.com,/koogee/form/ACTIVATIONFORM/formperma/g51Bb2g53DaChBA4be0h2kCA_,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
https,www.surveybuilder.com,/s/oFh4R/nav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
https,a.doko.moe,/vschbi.html,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1
https,forms.zohopublic.com,/foolieax/form/VERIFICATIONFROM/formperma/hg_466jHhCK6_6D61K5AC9eA4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
http,muththamizh.com,/llc/production-llc/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,cortazarurdaneta.com,/chn/5adfd99cf03b06771d81f8b5607f1d7e/,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,chasebankusa.paradisepaymentgold.com,/verification/M2908D716C8M54904AC8/card.php,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,briut.fruitfuldemo.com,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,afraniorodriguezrosero.com,/wp-admin/themes/pdf/,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,recovery-account-fb.hol.es,/facebook-support,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
https,verification-members.net,/webapps/3db39/,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
